category_id,year0_institutions,year1_institutions,year2_institutions,year3_institutions,year4_institutions,recent_institutions,core_institutions_1y,core_institutions_3y,core_institutions_5y,citation_cohort_percentile
C0656,135,104,69,62,26,135,135,258,306,0.5455015205712537
C0657,87,90,85,49,44,87,87,217,267,0.44761979253149425
C0658,3,3,1,0,0,3,3,7,7,0.8132391107309219
C0659,7,0,0,0,0,7,7,7,7,0.0
C0660,30,32,7,9,11,30,30,61,79,0.6542030974231303
C0661,49,35,34,20,17,49,49,111,138,0.4460048806432358
C0662,104,96,83,89,101,104,104,249,376,0.37851059465776155
C0663,18,10,16,12,16,18,18,42,62,0.3684501059328135
C0664,23,16,15,24,25,23,23,52,94,0.31357731831739355
C0665,271,252,139,112,128,271,271,553,707,0.42874403048031695
C0666,28,28,9,18,18,28,28,58,87,0.31957116729556173
C0667,289,297,261,231,225,289,289,601,806,0.46253074922089593
C0668,12,25,41,4,0,12,12,72,76,0.4226825997838276
C0669,10,3,12,0,9,10,10,23,31,0.24334266898489426
C0670,161,152,153,103,118,161,161,353,456,0.5312362257429569
C0671,676,665,567,378,437,676,676,1353,1649,0.552705611675873
C0672,494,344,264,227,160,494,494,716,819,0.5595421531430044
C0673,78,85,56,44,35,78,78,171,201,0.608814401059199
C0674,185,123,63,112,90,185,185,327,459,0.2692622693247697
C0675,582,423,343,285,181,582,582,989,1165,0.5285144807114871
C0676,427,389,306,323,245,427,427,857,1131,0.4863622943200346
C0677,165,154,128,145,124,165,165,381,548,0.4403410288696823
C0678,219,314,229,202,260,219,219,601,831,0.49561491705733834
C0679,38,32,27,26,31,38,38,91,136,0.32468317590523466
C0680,546,435,453,410,361,546,546,1061,1372,0.5636202670688221
C0681,72,84,69,71,53,72,72,174,251,0.6427656559036694
C0682,9,9,15,24,33,9,9,29,77,0.6227696355507675
C0683,24,26,17,10,1,24,24,57,63,0.6138961970594178
C0684,454,301,223,134,117,454,454,674,748,0.6658805234298177
C0685,87,107,75,100,71,87,87,223,331,0.5529803755816798
C0686,233,174,147,133,124,233,233,451,576,0.47554482091941325
C0687,101,144,167,96,145,101,101,325,463,0.546285071171362
C0688,119,171,132,125,136,119,119,347,499,0.42630634190373606
C0689,198,226,200,213,203,198,198,501,731,0.4674666798176212
C0690,10,10,2,5,0,10,10,19,21,0.18992205226063313
C0691,0,0,0,0,0,0,0,0,0,0.0
C0692,0,0,0,0,0,0,0,0,0,0.0
C0693,202,155,186,132,168,202,202,454,647,0.5323160984469714
C0694,248,184,156,100,113,248,248,467,548,0.43247839140588945
C0695,187,159,141,77,89,187,187,361,423,0.5272133844893336
C0696,186,104,117,97,58,186,186,327,414,0.6062989591663195
C0697,114,147,132,123,126,114,114,305,418,0.6249687674673097
C0698,30,17,11,16,29,30,30,56,92,0.31054565494245967
C0699,19,7,17,9,18,19,19,41,63,0.4058147471844032
C0700,419,380,306,343,306,419,419,810,1065,0.41949617949689566
C0701,3,0,0,0,2,3,3,3,5,0.0
C0702,0,0,0,0,0,0,0,0,0,0.0
C0703,5,10,3,7,1,5,5,15,22,0.4885984026202365
C0704,25,8,13,4,6,25,25,44,53,0.16322607478048218
C0705,16,18,14,17,8,16,16,37,55,0.4479602827520054
C0706,1,0,3,0,2,1,1,4,6,0.23825700577079945
C0707,42,46,31,25,16,42,42,104,133,0.5358238190354776
C0708,0,0,1,0,0,0,0,1,1,0.0
C0709,21,22,26,15,14,21,21,60,75,0.4201759150031388
C0710,51,40,43,20,20,51,51,105,118,0.41034616073550123
C0711,45,28,39,37,43,45,45,104,165,0.2634240552073764
C0712,527,399,304,312,289,527,527,959,1266,0.4544818312574806
C0713,183,129,120,94,90,183,183,364,474,0.46121569432540177
C0714,741,639,521,503,421,741,741,1179,1372,0.6217603489341705
C0715,275,171,179,158,89,275,275,512,641,0.5785081429253089
C0716,88,49,68,77,72,88,88,178,288,0.44052159719157336
C0717,30,22,14,10,15,30,30,57,79,0.4343384959791115
C0718,216,157,162,139,152,216,216,417,564,0.4039661025961073
C0719,127,150,179,118,81,127,127,429,569,0.3790111974784794
C0720,158,137,160,109,133,158,158,410,577,0.3598690670913782
C0721,7,11,1,0,11,7,7,19,29,0.1873074385143448
C0722,7,26,9,11,5,7,7,37,47,0.43527113646247056
C0723,552,469,430,397,347,552,552,986,1271,0.5619581194057891
C0724,138,121,118,86,72,138,138,342,455,0.5607396488089963
C0725,284,175,198,192,124,284,284,532,718,0.5418953421311019
C0726,108,64,53,56,67,108,108,196,270,0.46037063701196645
C0727,844,720,568,480,476,844,844,1392,1642,0.5946936873891617
C0728,895,712,517,394,377,895,895,1329,1500,0.6472573260438781
C0729,86,32,34,36,33,86,86,144,201,0.4848974779665808
C0730,0,3,2,0,0,0,0,5,5,0.8712400644368085
C0731,4,5,14,15,10,4,4,22,42,0.20846803563122687
C0732,0,0,0,0,0,0,0,0,0,0.0
C0733,8,9,4,15,1,8,8,21,36,0.4204797579028529
C0734,1,0,0,0,2,1,1,1,3,0.367104221497671
C0735,0,0,0,0,0,0,0,0,0,0.29335339472372735
C0736,78,75,55,76,58,78,78,166,252,0.3663689890524066
C0737,87,62,38,59,62,87,87,155,246,0.3442504850707104
C0738,32,9,19,15,23,32,32,58,87,0.2064771582994591
C0739,264,242,211,210,160,264,264,613,849,0.539461132476045
C0740,20,28,45,28,22,20,20,88,126,0.5665778709690177
C0741,59,69,66,49,66,59,59,171,244,0.3733120343715274
C0742,151,183,179,222,178,151,151,409,588,0.6145362907574267
C0743,356,293,232,108,79,356,356,605,650,0.7583368140098368
C0744,834,640,650,626,567,834,834,1415,1795,0.6046124452311169
C0745,137,112,111,72,92,137,137,271,337,0.5442015705593116
C0746,137,134,124,124,135,137,137,329,473,0.2931159000707158
C0747,662,360,201,203,140,662,662,1005,1182,0.45590493647466296
C0748,57,43,9,12,14,57,57,99,120,0.6220773521514036
C0749,0,0,0,0,0,0,0,0,0,0.0
C0750,333,278,146,146,140,333,333,649,818,0.49690494976990607
