category_id,year0_institutions,year1_institutions,year2_institutions,year3_institutions,year4_institutions,recent_institutions,core_institutions_1y,core_institutions_3y,core_institutions_5y,citation_cohort_percentile
C0453,4,2,1,3,2,4,4,7,12,0.0441144905694844
C0454,379,267,273,245,259,379,379,736,992,0.2605135176473905
C0455,1401,1204,1086,1130,929,1401,1401,2684,3479,0.45787155332251306
C0456,21,26,25,22,27,21,21,70,115,0.1550710196144649
C0457,107,68,62,91,86,107,107,219,350,0.29147437802338844
C0458,743,447,440,413,424,743,743,1342,1801,0.2936428363874599
C0459,795,546,560,540,509,795,795,1433,1863,0.4717029539848241
C0460,819,602,589,543,517,819,819,1502,1925,0.4075978687194292
C0461,1393,1051,873,774,642,1393,1393,2128,2486,0.6687849361634978
C0462,336,276,271,259,296,336,336,639,901,0.33178817684107914
C0463,1193,631,588,515,447,1193,1193,1913,2366,0.37429131319393627
C0464,515,416,271,263,206,515,515,944,1169,0.4771226536999269
C0465,697,659,651,651,707,697,697,1448,1976,0.3448210025046622
C0466,10,7,13,3,1,10,10,30,34,0.08199828219413441
C0467,2,3,0,6,0,2,2,5,11,0.07021533817129148
C0468,1622,954,685,627,533,1622,1622,2379,2709,0.3800676961973845
C0469,137,182,171,174,130,137,137,436,645,0.3489033757821782
C0470,9,8,16,13,10,9,9,33,52,0.34608182163032464
C0471,16,10,23,19,19,16,16,49,86,0.1708918311802465
C0472,659,594,680,633,666,659,659,1347,1814,0.3450333571285252
C0473,1233,755,547,488,414,1233,1233,1717,1983,0.4933646307511076
C0474,748,565,583,548,432,748,748,1480,1914,0.3806068388917732
C0475,420,260,293,300,246,420,420,780,1055,0.4075371998211369
C0476,568,627,479,548,345,568,568,1357,1839,0.5126632822759731
C0477,26,21,9,7,29,26,26,56,87,0.12376759992031679
C0478,1109,1157,1077,1022,839,1109,1109,2458,3147,0.5985677599420052
C0479,0,0,5,10,7,0,0,5,22,0.08997890956169476
C0480,1,8,4,7,0,1,1,13,20,0.031003773534418477
C0481,785,529,565,491,452,785,785,1427,1833,0.5255630348268626
C0482,1350,999,883,873,710,1350,1350,2097,2461,0.6230945084366538
C0483,465,466,388,375,279,465,465,970,1225,0.618744366603
C0484,771,553,613,621,556,771,771,1527,2087,0.2269584933999106
C0485,164,196,174,197,207,164,164,406,585,0.5730139826219801
C0486,2129,1712,1499,1256,1175,2129,2129,3839,4712,0.304163200769354
C0487,563,409,303,255,181,563,563,980,1143,0.5623665290447988
C0488,29,21,20,13,8,29,29,66,82,0.595877305909859
C0489,56,43,23,32,25,56,56,110,155,0.5716554893089963
C0490,189,173,139,141,152,189,189,451,664,0.411682399823384
C0491,4,6,0,3,2,4,4,10,13,0.732507901511195
C0492,0,3,2,1,0,0,0,4,5,0.7764460008819464
C0493,916,829,706,665,493,916,916,1647,1943,0.663810645792514
C0494,10,0,0,0,0,10,10,10,10,0.7402884717566249
C0495,6,4,7,0,2,6,6,17,19,0.40233340792752054
C0496,9,3,9,10,5,9,9,21,34,0.41382580058689517
C0497,37,0,6,5,14,37,37,41,59,0.24816431227752064
C0498,344,287,235,148,172,344,344,760,975,0.5335370824890825
C0499,44,44,40,40,29,44,44,112,164,0.46444718385115313
C0500,80,109,61,51,64,80,80,227,307,0.45193572413139044
C0501,415,267,192,153,125,415,415,637,726,0.6336535315437317
C0502,37,15,34,22,30,37,37,81,116,0.3598415040414293
C0503,0,0,0,0,0,0,0,0,0,0.0
C0504,94,128,77,72,53,94,94,266,357,0.5200162149988332
C0505,0,0,0,0,5,0,0,0,5,0.0
C0506,246,174,133,132,99,246,246,502,663,0.3125376231322243
C0507,5,0,7,0,1,5,5,12,13,0.18788599498409037
C0508,16,4,5,10,13,16,16,25,47,0.46596098293646687
C0509,145,109,136,168,140,145,145,342,563,0.3141070623529488
C0510,344,386,463,357,317,344,344,892,1130,0.672121993562035
C0511,4,1,0,0,0,4,4,5,5,0.6905183990107331
C0512,109,79,74,72,50,109,109,227,281,0.422917318457623
C0513,96,47,42,43,32,96,96,158,200,0.4254063249782012
C0514,31,43,22,22,14,31,31,88,111,0.32219565419993124
C0515,192,98,137,112,91,192,192,374,503,0.5809564757064853
C0516,130,108,115,87,98,130,130,299,419,0.5571723525055565
C0517,79,85,67,43,39,79,79,183,227,0.4310876493831783
C0518,183,153,139,127,113,183,183,377,492,0.612107306086053
C0519,103,114,69,65,66,103,103,246,321,0.5623497316688791
