category_id,period,papers
C0230,2021Q3,82
C0667,2020Q1,41
C0319,2021Q2,58
C0191,2020Q3,140
C0444,2020Q3,53
C0047,2020Q4,184
C0091,2020Q1,112
C0421,2020Q3,90
C0155,2020Q4,297
C0056,2020Q4,154
C0075,2020Q2,139
C0210,2020Q4,118
C0076,2020Q2,232
C0324,2020Q2,125
C0368,2020Q1,140
C0163,2020Q3,26
C0093,2020Q3,137
C0232,2021Q2,111
C0108,2020Q1,3
C0468,2021Q1,208
C0161,2020Q1,184
C0710,2022Q2,5
C0006,2022Q2,4
C0624,2022Q2,8
C0035,2022Q2,9
C0356,2022Q2,11
C0445,2022Q2,51
C0585,2022Q2,5
C0030,2022Q2,18
C0725,2022Q2,22
C0157,2022Q1,10
C0566,2022Q2,6
C0370,2022Q2,13
C0470,2022Q2,2
C0438,2022Q2,13
C0261,2022Q1,7
C0612,2022Q2,2
C0309,2022Q2,15
C0645,2022Q2,7
C0393,2022Q4,228
C0013,2024Q1,59
C0299,2022Q2,15
C0079,2022Q2,4
C0525,2022Q2,7
C0008,2022Q2,5
C0187,2022Q2,7
C0267,2022Q4,100
C0434,2022Q2,2
C0733,2022Q2,1
C0090,2022Q2,3
C0024,2022Q4,50
C0646,2022Q2,5
C0698,2022Q2,1
C0729,2022Q2,1
C0544,2022Q2,4
C0567,2022Q2,1
C0281,2022Q2,1
C0741,2022Q2,4
C0341,2022Q4,245
C0495,2022Q2,1
C0461,2022Q3,210
C0061,2022Q3,190
C0725,2022Q3,19
C0169,2022Q3,162
C0063,2022Q3,238
C0280,2022Q3,78
C0463,2022Q3,117
C0369,2022Q3,312
C0196,2022Q3,201
C0164,2022Q3,91
C0211,2022Q3,205
C0366,2022Q3,113
C0138,2022Q3,173
C0241,2022Q3,152
C0071,2022Q3,127
C0394,2022Q3,182
C0278,2022Q3,288
C0029,2022Q3,89
C0085,2022Q3,100
C0311,2022Q3,159
C0555,2022Q3,44
C0210,2022Q3,111
C0415,2022Q3,44
C0436,2022Q3,211
C0486,2022Q3,219
C0047,2022Q3,179
C0405,2022Q3,162
