category_id,year0_institutions,year1_institutions,year2_institutions,year3_institutions,year4_institutions,recent_institutions,core_institutions_1y,core_institutions_3y,core_institutions_5y,citation_cohort_percentile
C0412,869,743,685,559,522,869,869,1572,1923,0.4862894139240063
C0413,10,5,16,15,17,10,10,31,60,0.3140199794491415
C0414,1239,848,852,733,739,1239,1239,2073,2631,0.40317538552319676
C0415,424,451,357,346,334,424,424,1061,1486,0.23944348073959992
C0416,987,926,983,918,819,987,987,2023,2604,0.4068600956171147
C0417,1054,957,859,728,642,1054,1054,2027,2508,0.47872352974861626
C0418,368,252,190,184,109,368,368,749,972,0.15037632664428766
C0419,1116,1100,1033,884,821,1116,1116,2215,2747,0.5838710127915752
C0420,852,634,559,514,485,852,852,1418,1742,0.3667992712677413
C0421,567,470,457,456,496,567,567,1179,1631,0.32145924225974076
C0422,21,15,11,13,19,21,21,45,74,0.1481340195934964
C0423,1634,1775,1410,1174,1045,1634,1634,3473,4283,0.34972258790935945
C0424,1001,766,849,675,697,1001,1001,1882,2335,0.3565694265946161
C0425,301,279,196,218,161,301,301,656,880,0.24461655243614436
C0426,1311,1149,971,868,921,1311,1311,2222,2710,0.5461362309531372
C0427,225,176,224,171,199,225,225,559,815,0.11348228772921003
C0428,1292,943,868,808,640,1292,1292,2452,3068,0.38552230043746427
C0429,1088,1228,1160,1203,1079,1088,1088,2384,3073,0.4131077970640282
C0430,320,285,343,361,344,320,320,769,1162,0.2095486892034001
C0431,1343,1078,954,889,792,1343,1343,2214,2630,0.5967948260986132
C0432,19,27,42,35,28,19,19,87,146,0.13499978556650963
C0433,227,107,100,104,99,227,227,398,547,0.35571972620660347
C0434,7,4,0,5,16,7,7,11,31,0.05234455779694169
C0435,786,593,512,562,497,786,786,1552,2115,0.24779642009804034
C0436,1986,1396,1112,935,797,1986,1986,2706,2980,0.6599905049326973
C0437,1869,867,830,711,734,1869,1869,2571,3034,0.34481924834213656
C0438,29,22,22,31,40,29,29,73,139,0.13569377579319672
C0439,320,284,256,237,204,320,320,700,949,0.2136751388569062
C0440,548,555,562,592,642,548,548,1259,1805,0.3709014057453459
C0441,138,162,113,100,98,138,138,334,451,0.5538033283556898
C0442,1,1,1,0,2,1,1,3,5,0.012037609479649665
C0443,1534,1213,1082,878,901,1534,1534,2689,3255,0.41308065148614237
C0444,347,307,268,193,152,347,347,789,990,0.2605359700113895
C0445,498,511,507,418,450,498,498,1116,1452,0.25377391158499835
C0446,1813,1251,1030,850,741,1813,1813,2896,3350,0.4181707538167992
C0447,71,45,41,54,26,71,71,145,214,0.15682584247373205
C0448,985,878,790,641,736,985,985,2084,2760,0.3156176220289229
C0449,30,51,22,20,30,30,30,95,137,0.4167262343477956
C0450,588,506,464,411,386,588,588,1168,1561,0.3406030684052559
C0451,825,762,610,634,605,825,825,1576,2043,0.3329377646091314
C0452,1311,1222,1164,957,841,1311,1311,2562,3140,0.41230944941553843
C0453,8,2,1,3,2,8,8,11,16,0.029133885718934122
C0454,503,367,431,367,396,503,503,1002,1359,0.23829338931089794
C0455,1475,1303,1164,1182,1023,1475,1475,2825,3651,0.4344001861995757
C0456,28,36,28,41,29,28,28,89,152,0.189553307639602
C0457,670,502,463,374,457,670,670,1264,1641,0.3173958353846176
C0458,789,509,477,460,503,789,789,1441,1966,0.26924515325756737
C0459,1201,965,914,859,820,1201,1201,2117,2655,0.4609467579888148
C0460,933,707,724,660,627,933,933,1726,2215,0.3811787463879701
C0461,1808,1407,1246,1056,942,1808,1808,2764,3206,0.6211223892035996
C0462,403,395,341,371,373,403,403,825,1174,0.31630397294199303
C0463,1413,847,782,674,616,1413,1413,2310,2847,0.37061135563751135
C0464,1146,949,732,648,587,1146,1146,1904,2277,0.5138626342473924
C0465,799,766,745,709,767,799,799,1618,2154,0.3202190777884502
C0466,13,9,15,7,3,13,13,37,47,0.10994381056984373
C0467,2,16,0,6,0,2,2,18,24,0.1295816430997153
C0468,2100,1417,1011,877,746,2100,2100,3073,3469,0.38259759015331685
C0469,414,498,412,405,368,414,414,1020,1401,0.4089892294047761
C0470,14,14,24,23,18,14,14,52,88,0.2968100756493564
C0471,28,20,35,26,31,28,28,83,137,0.19348329697082323
C0472,775,701,759,720,729,775,775,1513,1998,0.32519486539204195
C0473,1572,1083,787,669,594,1572,1572,2249,2563,0.47633546616656386
C0474,1013,850,845,792,706,1013,1013,1964,2533,0.3835063280203682
C0475,1224,921,872,884,809,1224,1224,2054,2629,0.45996036010663466
C0476,1392,1601,1388,1219,984,1392,1392,2957,3620,0.549156968441075
C0477,29,21,16,10,29,29,29,66,100,0.13734119419687407
C0478,1823,1990,1771,1594,1391,1823,1823,3699,4531,0.5754869568380533
C0479,8,2,6,13,8,8,8,16,37,0.08342523290369384
C0480,5,15,7,8,1,5,5,27,36,0.08563094184266666
C0481,1210,1008,934,870,812,1210,1210,2173,2707,0.5207113863939388
C0482,1772,1347,1198,1119,905,1772,1772,2735,3179,0.5761532621406991
C0483,1311,1261,1070,1032,962,1311,1311,2301,2789,0.5714371384088075
C0484,856,703,724,702,653,856,856,1761,2373,0.22715086258096367
C0485,1023,972,811,707,672,1023,1023,1745,2074,0.5369775836195017
C0486,2237,1832,1578,1375,1287,2237,2237,4052,5009,0.276769653972771
C0487,959,801,583,473,381,959,959,1547,1780,0.6251286282339023
C0488,80,50,33,41,26,80,80,145,188,0.5977046046040853
C0489,90,69,36,54,48,90,90,169,242,0.5407255380392861
C0490,270,221,226,176,213,270,270,622,864,0.38392336439467956
C0491,4,6,1,3,2,4,4,10,13,0.5806571432195643
C0492,0,9,2,3,0,0,0,10,12,0.7282616056428388
C0493,1487,1389,1176,1123,925,1487,1487,2451,2869,0.6564505076393689
C0494,11,0,0,0,0,11,11,11,11,0.7095157203731429
C0495,15,4,7,3,3,15,15,25,30,0.4264189259291107
C0496,9,3,9,10,5,9,9,21,34,0.35903239161914663
C0497,52,9,23,9,16,52,52,81,104,0.44769889227263376
C0498,548,452,427,312,302,548,548,1183,1524,0.5554084926903742
C0499,78,67,68,62,60,78,78,178,250,0.4588440562404996
C0500,131,145,96,78,83,131,131,324,424,0.4453390365287028
C0501,564,419,297,226,189,564,564,891,996,0.6308370126921802
C0502,58,33,41,27,49,58,58,118,170,0.35286056509381647
C0503,0,0,0,0,0,0,0,0,0,0.0
C0504,129,182,105,93,78,129,129,360,475,0.5188638847126524
C0505,1,1,0,1,5,1,1,2,8,0.1251680231841164
C0506,349,266,251,199,208,349,349,735,959,0.3099871156767988
C0507,11,1,9,3,1,11,11,21,25,0.34055573962422286
C0508,47,8,19,35,28,47,47,68,112,0.44810692839211236
C0509,215,176,203,239,215,215,215,489,769,0.3390816519495747
C0510,785,751,795,577,532,785,785,1488,1765,0.6618232175300247
C0511,4,1,0,0,1,4,4,5,6,0.6724159276747668
C0512,130,110,90,85,53,130,130,282,343,0.3917456785416997
C0513,135,102,71,73,53,135,135,236,284,0.46587949596719747
C0514,136,109,60,49,49,136,136,237,291,0.5081636685169386
C0515,343,270,247,222,222,343,343,665,875,0.5698965804626234
C0516,312,358,295,256,272,312,312,696,919,0.6083916562233154
C0517,123,144,87,65,66,123,123,273,343,0.41129613801706183
C0518,296,274,214,174,158,296,296,578,704,0.5939806322849105
C0519,133,131,93,71,77,133,133,305,382,0.5712636502375985
C0520,213,179,156,134,113,213,213,394,489,0.6191569878998481
C0521,364,373,306,295,220,364,364,738,913,0.6563425957899757
C0522,4,0,0,0,0,4,4,4,4,0.0
C0523,0,0,0,0,0,0,0,0,0,0.0
C0524,141,117,116,63,71,141,141,307,374,0.48457541412412786
C0525,92,112,87,74,76,92,92,262,377,0.5094121705353056
C0526,171,115,95,107,93,171,171,317,434,0.6275889445740536
C0527,454,442,407,294,257,454,454,1057,1322,0.3966619083546958
C0528,19,9,15,9,12,19,19,43,60,0.42550798188934963
C0529,202,179,123,102,87,202,202,355,420,0.6304392567856315
C0530,1303,1162,944,889,758,1303,1303,2069,2403,0.5981037915687646
C0531,101,84,77,65,75,101,101,231,322,0.6496507368352124
C0532,607,509,347,273,262,607,607,978,1139,0.6730923925983412
C0533,458,265,244,225,198,458,458,686,826,0.4120885684381867
C0534,614,457,315,248,131,614,614,1092,1239,0.6406724725664273
C0535,40,36,39,13,23,40,40,87,109,0.42435043665913635
C0536,27,45,20,42,24,27,27,82,136,0.5599874945545462
C0537,2804,2555,2261,2160,1847,2804,2804,4372,5099,0.6091726326786164
C0538,66,93,46,77,36,66,66,183,278,0.36764636878727297
C0539,118,124,91,108,86,118,118,293,439,0.29627486197569647
C0540,138,116,118,112,121,138,138,283,422,0.4458345120659747
C0541,76,62,42,51,77,76,76,163,252,0.4513833920138269
C0542,453,293,217,184,141,453,453,747,875,0.47767126113419683
C0543,168,133,92,59,62,168,168,324,382,0.5663293115741486
C0544,39,22,21,31,36,39,39,77,130,0.3969969289722243
C0545,180,151,161,123,123,180,180,417,585,0.5347606721028515
C0546,6,27,21,19,12,6,6,51,74,0.34125716175336396
C0547,44,7,11,12,5,44,44,60,75,0.451582340732334
C0548,119,124,99,96,64,119,119,278,368,0.3450360294868829
C0549,42,36,30,23,6,42,42,88,100,0.43300584541390885
C0550,216,181,175,121,133,216,216,445,575,0.452081342090862
C0551,161,163,166,113,101,161,161,397,521,0.36710247881649705
C0552,647,558,447,464,398,647,647,1206,1554,0.54959856941856
C0553,577,519,325,211,193,577,577,1148,1358,0.36799599787708903
C0554,108,98,87,52,65,108,108,258,339,0.5121588239943546
C0555,484,420,357,309,248,484,484,813,945,0.6249062071097895
C0556,1094,910,722,584,465,1094,1094,1623,1783,0.6961864706258148
C0557,1034,1024,907,939,827,1034,1034,2059,2637,0.5774462194452549
C0558,142,125,86,102,55,142,142,303,392,0.5764917029285546
C0559,38,23,18,9,6,38,38,72,83,0.6786436408604098
C0560,282,234,213,190,163,282,282,481,584,0.5365235374023596
C0561,85,40,39,41,44,85,85,150,217,0.35163913994120427
C0562,5,7,1,7,6,5,5,13,25,0.3918606267526512
C0563,18,20,15,23,30,18,18,53,100,0.2689423685809473
C0564,342,314,285,231,236,342,342,625,760,0.43014551748231084
C0565,243,71,55,89,61,243,243,313,397,0.587741640284351
C0566,217,82,106,85,78,217,217,335,425,0.5486572250920082
C0567,4,13,13,7,17,4,4,30,53,0.48052564731008907
C0568,0,0,0,2,0,0,0,0,2,0.0
C0569,430,354,310,331,324,430,430,801,1100,0.5669051295067141
C0570,210,130,96,154,168,210,210,371,576,0.5406540978096456
C0571,79,60,46,37,40,79,79,172,237,0.358948023889279
C0572,358,337,323,267,153,358,358,768,930,0.43775558984633584
C0573,1,0,0,0,0,1,1,1,1,0.0
C0574,68,51,51,49,47,68,68,150,216,0.390082963047161
C0575,197,214,228,255,214,197,197,506,759,0.5448586945729375
C0576,593,410,325,184,141,593,593,960,1080,0.6526464608146867
C0577,515,428,287,147,132,515,515,841,921,0.6717749282301072
C0578,122,143,119,123,122,122,122,307,429,0.5193216262222258
C0579,6,3,4,1,4,6,6,13,18,0.23470796421258255
C0580,0,4,2,1,0,0,0,6,7,0.3547838766961826
C0581,111,166,131,137,132,111,111,341,500,0.4107506012267886
C0582,255,237,233,261,206,255,255,552,771,0.47119912290617244
C0583,163,74,117,106,130,163,163,279,404,0.5038948323886746
C0584,156,251,235,275,274,156,156,416,621,0.5363288597379242
C0585,37,12,14,10,41,37,37,51,79,0.5555981647410373
C0586,103,167,147,163,126,103,103,301,395,0.5603717373351816
C0587,483,448,404,329,350,483,483,1067,1376,0.4241410931798694
C0588,12,12,7,2,7,12,12,31,40,0.15641195224169765
C0589,32,24,27,28,32,32,32,67,100,0.26095015549680084
C0590,172,154,147,167,171,172,172,389,587,0.444075890575686
C0591,59,58,54,53,39,59,59,156,219,0.5864559067928383
C0592,615,567,455,346,303,615,615,1149,1385,0.561098821494533
C0593,939,694,488,403,302,939,939,1463,1677,0.6235132229912176
C0594,99,69,51,34,22,99,99,208,255,0.35495606115594974
C0595,0,0,0,0,0,0,0,0,0,0.0
C0596,32,4,32,12,9,32,32,63,78,0.3254073781494451
C0597,184,105,52,34,36,184,184,286,328,0.5673606587090607
C0598,648,514,320,175,147,648,648,1065,1156,0.6145721381014443
C0599,0,0,3,1,0,0,0,3,4,0.8151631009517611
C0600,261,130,130,84,40,261,261,426,494,0.5896671468792438
C0601,76,103,108,154,82,76,76,242,377,0.5079162797075962
C0602,350,559,416,341,267,350,350,935,1105,0.6848832949793661
C0603,722,632,549,482,400,722,722,1409,1770,0.617621272746091
C0604,291,218,235,192,141,291,291,568,722,0.5425591960972644
C0605,135,86,65,42,49,135,135,226,271,0.6414647844912003
C0606,402,185,182,148,147,402,402,606,732,0.3812666353645427
C0607,71,108,79,71,52,71,71,235,315,0.38261215180923014
C0608,72,60,73,73,64,72,72,175,267,0.405744044739639
C0609,63,51,59,75,52,63,63,151,244,0.3887377237010273
C0610,0,0,0,0,0,0,0,0,0,0.0
C0611,13,15,7,1,4,13,13,34,37,0.08570695419475995
C0612,63,74,22,13,28,63,63,141,176,0.2898532859172032
C0613,33,26,21,30,26,33,33,71,112,0.4383629599751344
C0614,50,58,45,74,47,50,50,125,203,0.298100926844734
C0615,132,124,109,136,119,132,132,285,428,0.4252903941399641
