family,trial,spearman,top20_overlap,max_rank_shift,weight_volume,weight_citation,weight_institutions,weight_persistence,weight_current,weight_multiyear_growth,weight_recent_growth,weight_trend,weight_quarter_consistency,weight_institution_expansion,weight_patents,weight_policies,weight_relative_share,weight_papers
core,136,0.9995863342262427,1.0,11.0,0.40925055933081167,0.17977220858484855,0.15382857911237433,0.1493394604680154,0.10780919250395005,,,,,,,,,
core,137,0.9998200472284041,0.95,10.0,0.42587938286285143,0.2072348528183909,0.15469641843482734,0.12702041739140701,0.08516892849252322,,,,,,,,,
core,138,0.9998465913422252,1.0,9.0,0.44419334224575074,0.1922722968239477,0.13692712814836183,0.13951075981374197,0.0870964729681979,,,,,,,,,
core,139,0.9990332278545224,0.95,23.0,0.3993555569433725,0.23285988028422666,0.12215175298028445,0.13043224920495333,0.11520056058716305,,,,,,,,,
core,140,0.9998356472952971,1.0,11.0,0.3914990846121788,0.2005711440741108,0.16539993172716483,0.1655173037122648,0.07701253587428078,,,,,,,,,
core,141,0.9992966049838836,1.0,16.0,0.427071103709975,0.17747892900438433,0.1319343369282539,0.15172689571566395,0.1117887346417228,,,,,,,,,
core,142,0.9993769093282286,1.0,16.0,0.43735251447843615,0.17914738931630245,0.12790403354404345,0.15793274041880945,0.09766332224240847,,,,,,,,,
core,143,0.9997407508883812,1.0,14.0,0.3764917337495085,0.1863221072761704,0.15631269782097718,0.18932630373917497,0.09154715741416881,,,,,,,,,
core,144,0.999834591290769,1.0,10.0,0.3901850549130098,0.2054122230988278,0.15846016416432857,0.1627410001008098,0.08320155772302407,,,,,,,,,
core,145,0.9994023014371102,1.0,14.0,0.43618862410889964,0.17712526095069792,0.1417590154574543,0.14237960197533867,0.1025474975076096,,,,,,,,,
core,146,0.999308845036369,1.0,16.0,0.40786086335912214,0.1740923986795753,0.15564135926514272,0.14320162465677583,0.11920375403938407,,,,,,,,,
core,147,0.9994185255066789,1.0,15.0,0.40131425599625814,0.17711679944887956,0.16494631531455634,0.13203071122767343,0.12459191801263253,,,,,,,,,
core,148,0.9999328957122983,1.0,7.0,0.42343766177969727,0.20355223461613137,0.13667767143887274,0.1517843334705397,0.0845480986947588,,,,,,,,,
core,149,0.9988842352156421,1.0,19.0,0.40765120511617087,0.1657003285297063,0.1497031228853847,0.17475042882849365,0.10219491464024465,,,,,,,,,
core,150,0.999982335924298,1.0,4.0,0.40017430907357737,0.19812967445326837,0.15144566626316971,0.14666983563809768,0.1035805145718869,,,,,,,,,
core,151,0.9989509555017386,1.0,18.0,0.4462964143769701,0.16865791028663799,0.14078871860940578,0.15504786045044658,0.08920909627653958,,,,,,,,,
core,152,0.9993032290122874,0.95,20.0,0.4274484108612629,0.22413717181261805,0.13528784624829482,0.13023830278432733,0.08288826829349695,,,,,,,,,
core,153,0.9984509853578666,0.95,26.0,0.3827624508240727,0.24039174072417158,0.1274798244079593,0.14548327635010394,0.10388270769369254,,,,,,,,,
core,154,0.9998812954910365,1.0,10.0,0.39597632808845196,0.21083290527497436,0.13020389644598673,0.1619918609451809,0.10099500924540596,,,,,,,,,
core,155,0.9983364088665626,1.0,23.0,0.42551181053289877,0.1652936382400462,0.12059052625804058,0.1718396980466569,0.11676432692235748,,,,,,,,,
core,156,0.9996602065430072,1.0,11.0,0.3460698202918476,0.17889930794604852,0.18837337132384752,0.16921694582090077,0.11744055461735557,,,,,,,,,
core,157,0.9996396144547082,0.95,12.0,0.38865581583923187,0.2189246583923953,0.13960492742427721,0.14315468659429903,0.1096599117497966,,,,,,,,,
core,158,0.9998871515161472,1.0,8.0,0.42038609979593455,0.19099482878981783,0.14841505356512066,0.1477477912269924,0.0924562266221344,,,,,,,,,
core,159,0.9997612469762684,1.0,10.0,0.3973448853772371,0.21569076271133153,0.13745314597558736,0.14668766533938393,0.10282354059646015,,,,,,,,,
core,160,0.9996680785767624,1.0,16.0,0.36954149568398165,0.21267396197947494,0.16428255579156545,0.1382759091046766,0.11522607744030137,,,,,,,,,
core,161,0.999524557961346,1.0,14.0,0.44375450375521297,0.17833756776692306,0.15304902999249134,0.13812109764850214,0.08673780083687051,,,,,,,,,
core,162,0.9996748946059895,1.0,14.0,0.42987058946546247,0.1806314491165779,0.17786805353058885,0.1289126948031452,0.08271721308422554,,,,,,,,,
core,163,0.9988329229956151,1.0,19.0,0.4252805801825581,0.16652788291657242,0.14357041270515125,0.15994659443453946,0.1046745297611787,,,,,,,,,
core,164,0.9995032458699598,0.95,14.0,0.38627009154276803,0.2226166009639172,0.13480707358182833,0.1514489454719218,0.10485728843956456,,,,,,,,,
core,165,0.9984189692205815,0.95,26.0,0.37201633251232996,0.2410402352089633,0.12495230967471922,0.16303719107792516,0.09895393152606237,,,,,,,,,
core,166,0.9995540780879283,1.0,14.0,0.4270196380275573,0.18107461561699095,0.15044144772050377,0.12930802275055106,0.11215627588439685,,,,,,,,,
