category_id,year0_institutions,year1_institutions,year2_institutions,year3_institutions,year4_institutions,recent_institutions,core_institutions_1y,core_institutions_3y,core_institutions_5y,citation_cohort_percentile
N0399,72,56,52,28,17,72,72,169,209,0.4382353379887912
N0400,0,9,14,5,11,0,0,23,39,0.30999562521516477
N0401,28,31,40,14,25,28,28,97,131,0.5034232482395091
N0402,15,33,8,21,12,15,15,54,81,0.5760319409515017
N0403,53,83,57,31,38,53,53,186,234,0.5235213960603498
N0404,45,22,26,8,17,45,45,88,110,0.4717568249017892
N0405,27,33,30,18,13,27,27,89,116,0.5145993849292078
N0406,30,36,39,24,27,30,30,94,138,0.41631551112824344
N0407,39,10,27,30,32,39,39,74,124,0.5201365377151782
N0408,42,30,15,2,34,42,42,85,118,0.3014175709764615
N0409,34,21,26,20,25,34,34,81,124,0.39406130336125683
N0410,36,22,19,9,33,36,36,74,109,0.5072297854337289
N0411,44,65,38,29,14,44,44,146,188,0.3284899570091313
N0412,29,12,14,5,21,29,29,54,79,0.2355125867965357
N0413,18,22,25,22,26,18,18,65,111,0.23710728020318309
N0414,20,6,7,12,17,20,20,33,60,0.33607137085719135
N0415,7,5,12,16,41,7,7,24,79,0.4875168537401277
N0416,20,11,11,9,13,20,20,42,63,0.44868224337985063
N0417,92,135,83,83,62,92,92,257,338,0.6615043277947391
N0418,19,21,26,6,13,19,19,65,83,0.2878026237567133
N0419,29,50,14,32,19,29,29,84,131,0.5673001772612537
N0420,19,22,5,12,8,19,19,44,61,0.4607883651449949
N0421,4,22,12,10,10,4,4,36,54,0.23958173924438675
N0422,36,64,29,44,32,36,36,122,189,0.5883847267932764
N0423,21,40,20,17,21,21,21,80,115,0.34860893903916007
N0424,93,101,40,9,6,93,93,215,230,0.5695342523843749
N0425,10,10,23,2,11,10,10,43,56,0.43518150662263594
N0426,16,9,14,6,24,16,16,38,65,0.2915220492731004
N0427,5,0,1,7,11,5,5,6,24,0.20837851363750104
N0428,21,6,27,8,14,21,21,54,76,0.5409520069228644
N0429,7,14,7,18,9,7,7,25,49,0.40292759468434575
N0430,33,60,35,50,22,33,33,117,171,0.6452175691919376
N0431,5,34,26,32,35,5,5,63,117,0.5268010269609965
N0432,46,29,27,22,21,46,46,101,141,0.31636691074078516
N0433,24,23,6,10,9,24,24,52,69,0.29430240644682787
N0434,18,27,6,4,11,18,18,51,66,0.31511542532413245
N0435,13,20,6,27,14,13,13,38,77,0.3553525928122671
N0436,31,20,20,39,11,31,31,68,115,0.40028552419381785
N0437,11,22,26,25,18,11,11,53,93,0.31807214667791345
N0438,23,27,16,13,18,23,23,64,92,0.3875735277466449
N0439,42,44,26,19,18,42,42,107,140,0.5123248763433742
N0440,21,61,37,17,6,21,21,112,129,0.3742807081401776
