family,scenario,category_id,name,selected,core_papers,recent_papers,multiyear_share_ratio,share_growth_ratio,historical_peak_ratio,score
emerging,supported_only,C0254,电催化析氢与界面调控,False,1709,549,0.7348270858444045,0.8249244224135274,0.6803353065916609,13.312788906009246
emerging,supported_only,C0278,整体电催化水分解,False,588,180,0.6632818791428075,0.7709238574298404,0.5812684013044702,14.164098613251156
emerging,supported_only,C0294,电池管理与均衡控制,False,0,0,0.7381725333182875,0.8819710612701498,0.565919052247428,58.89830508474576
emerging,supported_only,C0348,智能电网信息安全与韧性,False,0,0,0.7381725333182875,0.8819710612701498,0.565919052247428,58.89830508474576
emerging,supported_only,C0381,光伏发电功率预测方法与装置,True,753,384,1.8424746427138048,1.48410447727953,1.48410447727953,95.66255778120184
emerging,supported_only,C0435,智能电表物联网与用能监测,False,200,112,2.158949483467466,1.7877791782503034,1.7877791782503034,95.63174114021572
emerging,supported_only,C0443,建筑能效与居民供热用能,False,0,0,0.7381725333182875,0.8819710612701498,0.565919052247428,58.89830508474576
emerging,supported_only,C0473,二氧化碳地质封存与驱油,False,285,113,1.2384458933676254,0.9671856565619518,0.9671856565619518,73.28197226502311
emerging,supported_only,C0533,氮化镓功率与结器件,True,820,423,1.7300921731551122,1.6637627815051603,1.581958538790665,94.9075500770416
emerging,supported_only,C0534,氢能技术经济与生命周期,True,896,417,1.6032845905645905,1.2632004050781735,1.2632004050781735,89.44144838212634
emerging,supported_only,C0542,光伏组件故障与缺陷检测,True,652,315,1.5849714456427066,1.4530645944163565,1.4530645944163565,93.18952234206472
emerging,supported_only,C0556,水系锌离子电池,False,3731,1435,1.1167670035564146,0.968313161340956,0.968313161340956,75.73959938366718
emerging,supported_only,C0566,蒸汽重整制氢与合成气,True,223,113,1.490846130793397,2.022297281902263,1.2647179539279008,93.01232665639444
emerging,supported_only,C0600,直接空气捕碳,True,348,164,1.610746134587135,1.4729364424257831,1.417206753324343,93.21263482280428
emerging,supported_only,C0665,换热器结构与传热强化,True,443,213,1.570932652848316,1.454060398310247,1.396805984448854,90.34283513097073
emerging,supported_only,C0713,电价预测,True,341,171,1.7791583279783143,1.5356145889119868,1.5356145889119868,92.16872110939909
emerging,supported_only,C0725,废塑料回收与转化,True,382,181,1.330350236798239,1.448667399280834,1.1257886276810087,87.86979969183358
core,cutoff_2025Q2,C0060,超级电容器电极与器件,True,8358,3203,1.04678517727721,0.9875709992023256,0.9875709992023256,98.52080123266566
core,cutoff_2025Q2,C0067,钙钛矿太阳能电池界面与器件性能,True,7584,2898,1.018347811356688,1.0069049629155462,1.0069049629155462,97.01078582434516
core,cutoff_2025Q2,C0091,等离子体湍流与不稳定性,False,1170,463,1.0363567759158938,1.0185431261304352,0.9304893922744696,57.8120184899846
core,cutoff_2025Q2,C0098,建筑与工业冷却节能,False,1512,569,0.951818406451986,0.9919496025695728,0.8816997182189836,65.56240369799693
core,cutoff_2025Q2,C0122,热电材料与热电性能优化,True,6091,2231,0.9396726124533272,0.9632976463118512,0.9220098388366698,92.20338983050848
core,cutoff_2025Q2,C0155,电解水析氧催化,True,7281,2902,1.137913392204313,1.0427129593613236,1.0427129593613236,97.8813559322034
core,cutoff_2025Q2,C0169,电池荷电状态健康状态与建模,True,2819,1256,1.3812964627738435,1.292010152804396,1.292010152804396,86.19414483821264
core,cutoff_2025Q2,C0186,煤热解气化与煤质特性,False,1690,549,0.7517080150840524,0.826860583133604,0.6600202641393326,69.91525423728814
core,cutoff_2025Q2,C0191,固态储氢材料与反应器,True,2981,1263,1.2892480381154403,1.12105350921299,1.12105350921299,89.85362095531586
core,cutoff_2025Q2,C0210,地热资源开发与换热,False,1957,779,1.109725239431376,1.1008882394086783,1.0703413902774137,71.43297380585516
core,cutoff_2025Q2,C0216,电力可靠性与电气安全,False,1223,459,0.9590152532451516,1.0466150226882172,0.833151119375107,56.88751926040062
core,cutoff_2025Q2,C0245,碳基超级电容器电极,True,3202,1163,0.91937926685371,0.9619748167745112,0.8549578221074347,92.57318952234208
core,cutoff_2025Q2,C0246,虚拟电厂资源聚合与调度,False,575,249,1.3524831106606374,1.2074249906665062,1.2074249906665062,60.26964560862866
core,cutoff_2025Q2,C0251,充电站选址与充电调度,True,3103,1311,1.2669642508540175,1.1612828758755085,1.1612828758755085,86.84129429892143
core,cutoff_2025Q2,C0254,电催化析氢与界面调控,True,5976,2343,1.0889511982079705,1.0570956196838104,1.0570956196838104,97.01078582434516
core,cutoff_2025Q2,C0278,整体电催化水分解,True,5028,1919,1.0436211444238597,0.999522107487647,0.999522107487647,96.97996918335905
core,cutoff_2025Q2,C0294,电池管理与均衡控制,False,333,113,0.8688331972277685,0.9864989253147908,0.7249209184516159,41.5157935285054
core,cutoff_2025Q2,C0348,智能电网信息安全与韧性,False,1974,864,1.3040558404226748,1.159090627916343,1.159090627916343,75.51617873651773
core,cutoff_2025Q2,C0381,光伏发电功率预测方法与装置,False,675,303,1.5200827295618915,1.2133164082388097,1.2133164082388097,62.604006163328194
core,cutoff_2025Q2,C0435,智能电表物联网与用能监测,False,1512,596,1.028921184155798,1.1669595473260437,0.8654647098465894,61.14791987673344
core,cutoff_2025Q2,C0443,建筑能效与居民供热用能,False,2672,1092,1.1152623252069434,1.056233908062811,0.994879290843804,81.3482280431433
core,cutoff_2025Q2,C0473,二氧化碳地质封存与驱油,True,2936,1333,1.461032531867436,1.254520980020173,1.254520980020173,84.0446841294299
core,cutoff_2025Q2,C0533,氮化镓功率与结器件,False,552,224,1.1016813238225476,1.13027385787219,0.8802735315082181,55.06163328197226
core,cutoff_2025Q2,C0534,氢能技术经济与生命周期,False,603,291,1.8018650054930587,1.350809235503606,1.350809235503606,67.4191063174114
core,cutoff_2025Q2,C0542,光伏组件故障与缺陷检测,False,452,191,1.2909466102700449,1.1418208532048613,1.1418208532048613,56.06702619414485
core,cutoff_2025Q2,C0556,水系锌离子电池,True,2954,1307,1.4627540533842165,1.154230950596536,1.154230950596536,88.82126348228043
core,cutoff_2025Q2,C0566,蒸汽重整制氢与合成气,False,166,49,0.7632102353293038,0.7030673011295805,0.674277345652688,37.96610169491525
core,cutoff_2025Q2,C0600,直接空气捕碳,False,233,98,1.4361775771146748,0.994688139993628,0.994688139993628,46.50038520801233
core,cutoff_2025Q2,C0665,换热器结构与传热强化,False,308,129,1.1477849992345723,1.1144755442148109,1.0766296919028857,43.29930662557781
core,cutoff_2025Q2,C0713,电价预测,False,220,98,1.3333715708039715,1.1867658497855007,1.1867658497855007,42.44607087827427
core,cutoff_2025Q2,C0725,废塑料回收与转化,False,302,110,0.9905410137528912,1.0548920045595511,0.8378727249333024,52.27657935285055
emerging,cutoff_2025Q2,C0060,超级电容器电极与器件,False,8358,3203,1.04678517727721,0.9875709992023256,0.9875709992023256,61.61402157164869
emerging,cutoff_2025Q2,C0067,钙钛矿太阳能电池界面与器件性能,False,7584,2898,1.018347811356688,1.0069049629155462,1.0069049629155462,57.241910631741135
emerging,cutoff_2025Q2,C0091,等离子体湍流与不稳定性,False,1170,463,1.0363567759158938,1.0185431261304352,0.9304893922744696,61.140215716486914
emerging,cutoff_2025Q2,C0098,建筑与工业冷却节能,False,1512,569,0.951818406451986,0.9919496025695728,0.8816997182189836,49.26810477657935
emerging,cutoff_2025Q2,C0122,热电材料与热电性能优化,False,6091,2231,0.9396726124533272,0.9632976463118512,0.9220098388366698,45.80893682588597
emerging,cutoff_2025Q2,C0155,电解水析氧催化,False,7281,2902,1.137913392204313,1.0427129593613236,1.0427129593613236,68.87519260400616
emerging,cutoff_2025Q2,C0169,电池荷电状态健康状态与建模,False,2819,1256,1.3812964627738435,1.292010152804396,1.292010152804396,89.7457627118644
emerging,cutoff_2025Q2,C0186,煤热解气化与煤质特性,False,1690,549,0.7517080150840524,0.826860583133604,0.6600202641393326,14.229583975346689
emerging,cutoff_2025Q2,C0191,固态储氢材料与反应器,False,2981,1263,1.2892480381154403,1.12105350921299,1.12105350921299,84.53775038520801
emerging,cutoff_2025Q2,C0210,地热资源开发与换热,False,1957,779,1.109725239431376,1.1008882394086783,1.0703413902774137,65.92449922958397
emerging,cutoff_2025Q2,C0216,电力可靠性与电气安全,False,1223,459,0.9590152532451516,1.0466150226882172,0.833151119375107,50.44684129429891
emerging,cutoff_2025Q2,C0245,碳基超级电容器电极,False,3202,1163,0.91937926685371,0.9619748167745112,0.8549578221074347,44.422187981510014
emerging,cutoff_2025Q2,C0246,虚拟电厂资源聚合与调度,True,575,249,1.3524831106606374,1.2074249906665062,1.2074249906665062,84.91140215716486
emerging,cutoff_2025Q2,C0251,充电站选址与充电调度,True,3103,1311,1.2669642508540175,1.1612828758755085,1.1612828758755085,81.64483821263481
emerging,cutoff_2025Q2,C0254,电催化析氢与界面调控,False,5976,2343,1.0889511982079705,1.0570956196838104,1.0570956196838104,67.93913713405237
emerging,cutoff_2025Q2,C0278,整体电催化水分解,False,5028,1919,1.0436211444238597,0.999522107487647,0.999522107487647,56.45993836671804
emerging,cutoff_2025Q2,C0294,电池管理与均衡控制,False,333,113,0.8688331972277685,0.9864989253147908,0.7249209184516159,33.75192604006163
emerging,cutoff_2025Q2,C0348,智能电网信息安全与韧性,False,1974,864,1.3040558404226748,1.159090627916343,1.159090627916343,80.94761171032359
emerging,cutoff_2025Q2,C0381,光伏发电功率预测方法与装置,True,675,303,1.5200827295618915,1.2133164082388097,1.2133164082388097,88.5246533127889
