category_id,name,domain,status,analysis_scope,admissible_pool,direct_energy,year0_papers,year0_denominator,year0_share,year1_papers,year1_denominator,year1_share,year2_papers,year2_denominator,year2_share,year3_papers,year3_denominator,year3_share,year4_papers,year4_denominator,year4_share,recent_papers,previous_papers,share_growth_ratio,baseline_years_used,baseline_papers,baseline_annual_mean_papers,baseline_mean_share,multiyear_share_ratio,historical_peak_ratio,three_year_log_share_slope,growing_quarters,active_quarters,core_years,core_papers,core_mean_annual_share,core_active_quarters,core_active_years,core_persistence,recent_institutions,core_institutions,baseline_mean_institutions,institution_expansion,citation_cohort_percentile,pooled_baseline_share,pooled_share_ratio,share_ratio_lower95,growth_count_pvalue,growth_count_qvalue,core_score,emerging_score,core_eligible,emerging_eligible,trajectory,end_quarter
C0031,车辆驱动制动与运动控制,交通与充电,宽泛待细分,能源电力直接相关,True,True,0,54154,9.169432778888298e-06,0,47718,1.039652340257418e-05,0,40261,1.2304360665419824e-05,0,33955,1.4564520827264783e-05,0,30484,1.6202728539486048e-05,0,0,0.8819710612701498,3,0,0.0,1.242180163175293e-05,0.7381725333182875,0.565919052247428,-0.14703914850563482,0,0,3,0,1.0623438948960767e-05,0,0,0.0,0,0,0.0,1.0,0.0,4.088006606218676e-06,2.2430083075060976,0.044503740341638134,0.5,0.6019261637239165,47.75038520801233,58.89830508474576,False,False,近期份额下降,2026Q2
C0032,煤炭产业布局与清洁利用政策,能源政策与治理,政策类群,能源治理与政策研究,True,False,0,54154,9.169432778888298e-06,0,47718,1.039652340257418e-05,0,40261,1.2304360665419824e-05,0,33955,1.4564520827264783e-05,0,30484,1.6202728539486048e-05,0,0,0.8819710612701498,3,0,0.0,1.242180163175293e-05,0.7381725333182875,0.565919052247428,-0.14703914850563482,0,0,3,0,1.0623438948960767e-05,0,0,0.0,0,0,0.0,1.0,0.0,4.088006606218676e-06,2.2430083075060976,0.044503740341638134,0.5,0.6019261637239165,47.75038520801233,58.89830508474576,False,False,近期份额下降,2026Q2
C0033,石油产业与油价经济,化石能源,宽泛待细分,能源电力直接相关,True,True,0,54154,9.169432778888298e-06,0,47718,1.039652340257418e-05,0,40261,1.2304360665419824e-05,0,33955,1.4564520827264783e-05,0,30484,1.6202728539486048e-05,0,0,0.8819710612701498,3,0,0.0,1.242180163175293e-05,0.7381725333182875,0.565919052247428,-0.14703914850563482,0,0,3,0,1.0623438948960767e-05,0,0,0.0,0,0,0.0,1.0,0.0,4.088006606218676e-06,2.2430083075060976,0.044503740341638134,0.5,0.6019261637239165,47.75038520801233,58.89830508474576,False,False,近期份额下降,2026Q2
C0034,污泥资源化与水处理,生物质与资源循环,宽泛待细分,关联基础或环境研究,True,False,0,54154,9.169432778888298e-06,0,47718,1.039652340257418e-05,0,40261,1.2304360665419824e-05,0,33955,1.4564520827264783e-05,0,30484,1.6202728539486048e-05,0,0,0.8819710612701498,3,0,0.0,1.242180163175293e-05,0.7381725333182875,0.565919052247428,-0.14703914850563482,0,0,3,0,1.0623438948960767e-05,0,0,0.0,0,0,0.0,1.0,0.0,4.088006606218676e-06,2.2430083075060976,0.044503740341638134,0.5,0.6019261637239165,47.75038520801233,58.89830508474576,False,False,近期份额下降,2026Q2
C0035,太阳能集热与热利用装置,太阳能,宽泛待细分,能源电力直接相关,True,True,0,54154,9.169432778888298e-06,0,47718,1.039652340257418e-05,0,40261,1.2304360665419824e-05,0,33955,1.4564520827264783e-05,0,30484,1.6202728539486048e-05,0,0,0.8819710612701498,3,0,0.0,1.242180163175293e-05,0.7381725333182875,0.565919052247428,-0.14703914850563482,0,0,3,0,1.0623438948960767e-05,0,0,0.0,0,0,0.0,1.0,0.0,4.088006606218676e-06,2.2430083075060976,0.044503740341638134,0.5,0.6019261637239165,47.75038520801233,58.89830508474576,False,False,近期份额下降,2026Q2
C0036,风机传动支撑与轴承部件,风能与水能海洋能源,混杂待重分,质量限制观察,False,False,0,54154,9.169432778888298e-06,0,47718,1.039652340257418e-05,0,40261,1.2304360665419824e-05,0,33955,1.4564520827264783e-05,0,30484,1.6202728539486048e-05,0,0,0.8819710612701498,3,0,0.0,1.242180163175293e-05,0.7381725333182875,0.565919052247428,-0.14703914850563482,0,0,3,0,1.0623438948960767e-05,0,0,0.0,0,0,0.0,1.0,0.0,4.088006606218676e-06,2.2430083075060976,0.044503740341638134,0.5,0.6019261637239165,47.75038520801233,58.89830508474576,False,False,近期份额下降,2026Q2
C0037,光催化二氧化碳转化与氧化还原,碳与环境,宽泛待细分,能源电力直接相关,True,True,0,54154,9.169432778888298e-06,0,47718,1.039652340257418e-05,0,40261,1.2304360665419824e-05,0,33955,1.4564520827264783e-05,0,30484,1.6202728539486048e-05,0,0,0.8819710612701498,3,0,0.0,1.242180163175293e-05,0.7381725333182875,0.565919052247428,-0.14703914850563482,0,0,3,0,1.0623438948960767e-05,0,0,0.0,0,0,0.0,1.0,0.0,4.088006606218676e-06,2.2430083075060976,0.044503740341638134,0.5,0.6019261637239165,47.75038520801233,58.89830508474576,False,False,近期份额下降,2026Q2
C0038,电气计量校准与测量不确定度,数字技术与测量,宽泛待细分,关联基础或环境研究,True,False,0,54154,9.169432778888298e-06,0,47718,1.039652340257418e-05,0,40261,1.2304360665419824e-05,0,33955,1.4564520827264783e-05,0,30484,1.6202728539486048e-05,0,0,0.8819710612701498,3,0,0.0,1.242180163175293e-05,0.7381725333182875,0.565919052247428,-0.14703914850563482,0,0,3,0,1.0623438948960767e-05,0,0,0.0,0,0,0.0,1.0,0.0,4.088006606218676e-06,2.2430083075060976,0.044503740341638134,0.5,0.6019261637239165,47.75038520801233,58.89830508474576,False,False,近期份额下降,2026Q2
C0039,碳达峰与综合节能政策,能源政策与治理,政策类群,能源治理与政策研究,True,False,0,54154,9.169432778888298e-06,0,47718,1.039652340257418e-05,0,40261,1.2304360665419824e-05,0,33955,1.4564520827264783e-05,0,30484,1.6202728539486048e-05,0,0,0.8819710612701498,3,0,0.0,1.242180163175293e-05,0.7381725333182875,0.565919052247428,-0.14703914850563482,0,0,3,0,1.0623438948960767e-05,0,0,0.0,0,0,0.0,1.0,0.0,4.088006606218676e-06,2.2430083075060976,0.044503740341638134,0.5,0.6019261637239165,47.75038520801233,58.89830508474576,False,False,近期份额下降,2026Q2
C0040,碳定价与减排经济机制,碳与环境,方向候选,能源电力直接相关,True,True,0,54154,9.169432778888298e-06,0,47718,1.039652340257418e-05,0,40261,1.2304360665419824e-05,0,33955,1.4564520827264783e-05,0,30484,1.6202728539486048e-05,0,0,0.8819710612701498,3,0,0.0,1.242180163175293e-05,0.7381725333182875,0.565919052247428,-0.14703914850563482,0,0,3,0,1.0623438948960767e-05,0,0,0.0,0,0,0.0,1.0,0.0,4.088006606218676e-06,2.2430083075060976,0.044503740341638134,0.5,0.6019261637239165,47.75038520801233,58.89830508474576,False,False,近期份额下降,2026Q2
