category_id,recent_records,institution_metadata_fraction,title_only_fraction,jan1_fraction,needs_review_fraction,supported_fraction
C0436,2868,0.8730822873082287,0.021617852161785217,0.05683403068340307,0.24581589958158995,0.0
C0274,13,0.46153846153846156,0.6923076923076923,0.07692307692307693,1.0,0.0
C0239,717,0.9163179916317992,0.8354253835425384,0.12691771269177127,1.0,0.0
C0177,525,0.8704761904761905,0.21333333333333335,0.10666666666666667,0.011428571428571429,0.0
C0068,553,0.9349005424954792,0.9132007233273056,0.13200723327305605,1.0,0.0
C0186,1166,0.8902229845626072,0.5368782161234992,0.11492281303602059,0.0137221269296741,0.0
C0338,1419,0.8949964763918252,0.3594080338266385,0.11205073995771671,0.03171247357293869,0.0
C0352,866,0.7990762124711316,0.1836027713625866,0.11778290993071594,1.0,0.0
C0379,511,0.7318982387475538,0.36203522504892366,0.14481409001956946,1.0,0.0
C0096,42,0.40476190476190477,0.09523809523809523,0.30952380952380953,1.0,0.0
C0166,851,0.8108108108108109,0.3384253819036428,0.11163337250293771,1.0,0.0
C0133,1218,0.7766830870279147,0.15763546798029557,0.12397372742200329,1.0,0.0
C0577,427,0.8782201405152225,0.4332552693208431,0.14754098360655737,0.0,1.0
C0275,897,0.8517279821627648,0.20178372352285395,0.17391304347826086,0.024526198439241916,0.0
C0424,779,0.8356867779204108,0.11938382541720154,0.07317073170731707,0.1514762516046213,0.0
C0556,1435,0.9219512195121952,0.4689895470383275,0.14843205574912893,0.0,1.0
C0387,553,0.8987341772151899,0.2911392405063291,0.09945750452079566,0.012658227848101266,0.4448462929475588
C0671,527,0.9316888045540797,0.5863377609108159,0.09487666034155598,0.0,1.0
C0189,2049,0.8521229868228404,0.43923865300146414,0.14690092728160078,0.029282576866764276,0.0
C0048,1367,0.7746891002194587,0.06217995610826628,0.13679590343818582,1.0,0.0
C0311,804,0.8383084577114428,0.043532338308457715,0.16169154228855723,1.0,0.0
C0102,1641,0.7775746496039001,0.21876904326630103,0.19926873857404023,1.0,0.0
C0158,1538,0.9031209362808843,0.34655396618985695,0.14109232769830948,1.0,0.0
C0393,1273,0.8711704634721131,0.14611154752553024,0.11076197957580518,0.029065200314218383,0.0
C0153,481,0.8814968814968815,0.7796257796257796,0.17671517671517672,1.0,0.0
C0072,1880,0.7723404255319148,0.2154255319148936,0.12127659574468085,1.0,0.0
C0385,793,0.8524590163934426,0.5119798234552333,0.1677175283732661,1.0,0.0
