category_id,volume,citation,institutions,persistence,current
C0152,0.6718027734976888,0.6949152542372882,0.7057010785824345,1.0,0.6117103235747303
C0153,0.5685670261941448,0.44838212634822805,0.5916795069337443,1.0,0.5654853620955316
C0154,0.7796610169491526,0.34822804314329736,0.662557781201849,1.0,0.7688751926040062
C0155,0.9953775038520801,0.9337442218798151,0.9845916795069337,1.0,0.9953775038520801
C0156,0.827426810477658,0.362095531587057,0.8043143297380585,1.0,0.8582434514637904
C0157,0.2696456086286595,0.15254237288135594,0.24345146379044685,0.08333333333333333,0.300462249614792
C0158,0.9522342064714946,0.785824345146379,0.9291217257318952,1.0,0.9322033898305084
C0159,0.7765793528505393,0.35901386748844377,0.8859784283513097,1.0,0.827426810477658
C0160,0.4514637904468413,0.10323574730354391,0.4283513097072419,0.75,0.4591679506933744
C0161,0.6671802773497689,0.21263482280431434,0.6425269645608629,1.0,0.674884437596302
C0162,0.46070878274268107,0.31587057010785824,0.49614791987673346,0.9166666666666666,0.4714946070878274
C0163,0.44838212634822805,0.3035439137134052,0.43759630200308164,1.0,0.43143297380585516
C0164,0.5500770416024653,0.15408320493066255,0.5053929121725732,1.0,0.522342064714946
C0165,0.5531587057010786,0.23728813559322035,0.5362095531587057,1.0,0.5531587057010786
C0166,0.7688751926040062,0.539291217257319,0.7935285053929122,1.0,0.711864406779661
C0167,0.6101694915254238,0.48228043143297383,0.6409861325115562,1.0,0.5731895223420647
C0168,0.50231124807396,0.37750385208012327,0.5670261941448382,1.0,0.5115562403697997
C0169,0.8998459167950693,0.736517719568567,0.8551617873651772,1.0,0.9352850539291218
C0170,0.9722650231124808,0.27426810477657937,0.9861325115562404,1.0,0.9784283513097073
C0171,0.6579352850539292,0.3220338983050847,0.637904468412943,1.0,0.6594761171032357
C0172,0.6902927580893683,0.4391371340523883,0.6764252696456087,1.0,0.662557781201849
C0173,0.2650231124807396,0.5731895223420647,0.288135593220339,0.0,0.25115562403698
C0174,0.4930662557781202,0.24191063174114022,0.5069337442218799,1.0,0.48382126348228044
C0175,0.7180277349768875,0.5408320493066255,0.6671802773497689,1.0,0.7380585516178737
C0176,0.9229583975346687,0.3266563944530046,0.8428351309707242,1.0,0.9198767334360555
C0177,0.6240369799691834,0.5238828967642527,0.7272727272727273,1.0,0.5839753466872111
C0178,0.7812018489984591,0.6240369799691834,0.8320493066255779,1.0,0.7827426810477658
C0179,0.5916795069337443,0.46533127889060094,0.613251155624037,1.0,0.6302003081664098
C0180,0.22496147919876733,0.26040061633281975,0.23728813559322035,0.0,0.23112480739599384
C0181,0.5300462249614792,0.2218798151001541,0.49922958397534667,1.0,0.5408320493066255
C0182,0.5423728813559322,0.18952234206471494,0.5870570107858244,1.0,0.576271186440678
C0183,0.9044684129429892,0.3852080123266564,0.8289676425269645,1.0,0.9275808936825886
C0184,1.0,0.8366718027734977,0.9969183359013868,1.0,1.0
C0185,0.773497688751926,0.3312788906009245,0.7318952234206472,1.0,0.7704160246533128
C0186,0.7288135593220338,0.6209553158705701,0.6040061633281972,1.0,0.8335901386748844
C0187,0.1926040061633282,0.08012326656394453,0.1510015408320493,0.0,0.20184899845916796
C0188,0.8366718027734977,0.23112480739599384,0.7010785824345146,1.0,0.7966101694915254
C0189,0.9568567026194145,0.4422187981510015,0.8921417565485362,1.0,0.9691833590138675
C0190,0.1802773497688752,0.15562403697996918,0.18181818181818182,0.0,0.20955315870570107
C0191,0.9399075500770416,0.8705701078582434,0.9044684129429892,1.0,0.9614791987673343
C0192,0.8459167950693375,0.7288135593220338,0.7719568567026194,1.0,0.8228043143297381
C0193,0.4268104776579353,0.1987673343605547,0.41140215716486905,0.6666666666666666,0.4530046224961479
C0194,0.963020030816641,0.33436055469953774,0.9661016949152542,1.0,0.9368258859784283
C0195,0.8674884437596302,0.3697996918335901,0.9676425269645609,1.0,0.8828967642526965
C0196,0.9275808936825886,0.47919876733436056,0.8335901386748844,1.0,0.9291217257318952
C0197,0.5716486902927581,0.5778120184899846,0.6656394453004623,1.0,0.5331278890600925
C0198,0.05855161787365177,0.2573189522342065,0.053929121725731895,0.0,0.061633281972265024
C0199,0.18489984591679506,0.06471494607087827,0.15408320493066255,0.0,0.1802773497688752
C0200,0.6964560862865947,0.3436055469953775,0.5993836671802774,1.0,0.6964560862865947
C0201,0.6656394453004623,0.7765793528505393,0.7519260400616333,1.0,0.6425269645608629
C0202,0.8906009244992296,0.8798151001540832,0.9614791987673343,1.0,0.8382126348228043
C0203,0.5901386748844376,0.4345146379044684,0.7380585516178737,1.0,0.551617873651772
C0204,0.05701078582434515,0.03389830508474576,0.06933744221879815,0.0,0.09861325115562404
C0205,0.802773497688752,0.5500770416024653,0.7395993836671803,1.0,0.810477657935285
C0206,0.8921417565485362,0.6887519260400616,0.9137134052388289,1.0,0.8489984591679507
C0207,0.1386748844375963,0.14175654853620956,0.1448382126348228,0.0,0.1617873651771957
C0208,0.7673343605546995,0.09553158705701079,0.7565485362095532,1.0,0.8751926040061633
C0209,0.7103235747303543,0.674884437596302,0.7796610169491526,1.0,0.6764252696456087
C0210,0.8043143297380585,0.3389830508474576,0.7981510015408321,1.0,0.8967642526964561
C0211,0.8505392912172574,0.36363636363636365,0.74884437596302,1.0,0.8289676425269645
