category_id,multiyear_growth,recent_growth,trend,quarter_consistency,institution_expansion
C0464,0.6979969183359014,0.5685670261941448,0.7103235747303543,0.75,0.7164869029275809
C0465,0.22650231124807396,0.29275808936825887,0.23112480739599384,0.0,0.22342064714946072
C0466,0.987673343605547,0.9799691833590138,0.9784283513097073,0.75,0.41756548536209553
C0467,0.009244992295839754,0.012326656394453005,0.987673343605547,0.0,0.012326656394453005
C0468,0.9583975346687211,0.8751926040061633,0.9352850539291218,1.0,0.9090909090909091
C0469,0.09861325115562404,0.08782742681047766,0.12788906009244994,0.0,0.11864406779661017
C0470,0.50231124807396,0.687211093990755,0.48073959938366717,0.25,0.061633281972265024
C0471,0.36517719568567025,0.9167950693374423,0.5546995377503852,0.75,0.18489984591679506
C0472,0.17873651771956856,0.29892141756548535,0.1694915254237288,0.0,0.2110939907550077
C0473,0.8613251155624037,0.7426810477657936,0.8536209553158706,0.75,0.8828967642526965
C0474,0.4283513097072419,0.5423728813559322,0.41294298921417566,0.75,0.41448382126348227
C0475,0.5331278890600925,0.6841294298921418,0.49614791987673346,0.75,0.6178736517719569
C0476,0.1510015408320493,0.07704160246533127,0.10785824345146379,0.0,0.1386748844375963
C0477,0.6810477657935285,0.9090909090909091,0.5870570107858244,0.75,0.8983050847457628
C0478,0.1016949152542373,0.06933744221879815,0.09861325115562404,0.25,0.17257318952234207
C0479,0.7426810477657936,0.9892141756548536,0.4576271186440678,0.75,0.2773497688751926
C0480,0.05084745762711865,0.10631741140215717,0.08320493066255778,0.5,0.03543913713405239
C0481,0.423728813559322,0.4761171032357473,0.4036979969183359,0.25,0.4745762711864407
C0482,0.3713405238828968,0.34514637904468415,0.34668721109399075,0.25,0.699537750385208
C0483,0.28197226502311246,0.26810477657935283,0.300462249614792,0.25,0.3266563944530046
C0484,0.4776579352850539,0.6425269645608629,0.41294298921417566,0.75,0.43605546995377503
C0485,0.23420647149460708,0.2665639445300462,0.21263482280431434,0.0,0.43759630200308164
C0486,0.7580893682588598,0.6517719568567026,0.7411402157164869,0.75,0.6702619414483821
C0487,0.6687211093990755,0.47303543913713403,0.6147919876733436,0.5,0.7750385208012327
C0488,0.7889060092449923,0.7873651771956857,0.7765793528505393,0.5,0.889060092449923
C0489,0.8305084745762712,0.637904468412943,0.9229583975346687,0.5,0.8258859784283513
C0490,0.539291217257319,0.5778120184899846,0.32819722650231126,0.5,0.48228043143297383
C0491,0.8659476117103235,0.9352850539291218,0.987673343605547,0.5,0.3081664098613251
C0492,0.0030816640986132513,0.0015408320493066256,0.0061633281972265025,0.0,0.0015408320493066256
C0493,0.19106317411402157,0.13405238828967642,0.1941448382126348,0.0,0.386748844375963
C0494,0.9969183359013868,0.9984591679506933,0.9938366718027735,0.5,1.0
C0495,0.7627118644067796,0.8012326656394453,0.6101694915254238,0.5,0.975346687211094
C0496,0.8197226502311248,0.926040061633282,0.9291217257318952,0.75,0.3605546995377504
C0497,0.9738058551617874,0.987673343605547,0.827426810477658,1.0,0.987673343605547
C0498,0.7303543913713405,0.5932203389830508,0.7026194144838213,0.75,0.6147919876733436
C0499,0.3667180277349769,0.3220338983050847,0.35901386748844377,0.5,0.3559322033898305
C0500,0.20030816640986132,0.07858243451463791,0.1140215716486903,0.0,0.40215716486902925
C0501,0.8089368258859785,0.6317411402157165,0.74884437596302,0.75,0.8628659476117103
C0502,0.773497688751926,0.6178736517719569,0.7519260400616333,0.5,0.8443759630200308
C0503,0.1448382126348228,0.2280431432973806,0.15254237288135594,0.0,0.1617873651771957
C0504,0.4714946070878274,0.13097072419106318,0.5254237288135594,0.0,0.2218798151001541
C0505,0.053929121725731895,0.01694915254237288,0.16024653312788906,0.0,0.3605546995377504
C0506,0.7966101694915254,0.8228043143297381,0.7380585516178737,0.75,0.7318952234206472
C0507,0.7781201848998459,0.9768875192604006,0.15254237288135594,0.75,0.9645608628659477
C0508,0.8012326656394453,0.9815100154083205,0.8613251155624037,1.0,0.9460708782742681
C0509,0.1987673343605547,0.46841294298921415,0.18952234206471494,0.5,0.17565485362095531
C0510,0.11248073959938366,0.09553158705701079,0.07704160246533127,0.25,0.26040061633281975
C0511,0.9768875192604006,0.8412942989214176,0.987673343605547,0.25,0.9892141756548536
C0512,0.4422187981510015,0.362095531587057,0.41448382126348227,0.5,0.6224961479198767
C0513,0.8397534668721109,0.8058551617873652,0.8243451463790447,0.5,0.8120184899845917
C0514,0.7195685670261941,0.3713405238828968,0.8443759630200308,0.5,0.8782742681047766
C0515,0.5007704160246533,0.5038520801232665,0.46687211093990755,0.25,0.6363636363636364
C0516,0.11864406779661017,0.06317411402157165,0.12172573189522343,0.0,0.1694915254237288
C0517,0.711864406779661,0.4514637904468413,0.7996918335901386,0.25,0.5038520801232665
C0518,0.6486902927580893,0.4206471494607088,0.6764252696456087,0.5,0.5654853620955316
C0519,0.4869029275808937,0.29121725731895226,0.5916795069337443,0.5,0.6440677966101694
C0520,0.4514637904468413,0.42989214175654855,0.39907550077041604,0.5,0.6640986132511556
C0521,0.18489984591679506,0.09861325115562404,0.20647149460708783,0.25,0.31432973805855163
C0522,0.9722650231124808,0.975346687211094,0.9506933744221879,0.25,0.9953775038520801
C0523,0.1448382126348228,0.2280431432973806,0.15254237288135594,0.0,0.1617873651771957
C0524,0.7503852080123267,0.6409861325115562,0.559322033898305,0.5,0.7226502311248074
C0525,0.349768875192604,0.3020030816640986,0.3790446841294299,0.25,0.2033898305084746
C0526,0.6086286594761171,0.4915254237288136,0.7041602465331279,0.25,0.8089368258859785
C0527,0.48536209553158705,0.3898305084745763,0.4052388289676425,0.25,0.33436055469953774
C0528,0.9537750385208013,0.9476117103235747,0.8366718027734977,1.0,0.9291217257318952
C0529,0.6656394453004623,0.4869029275808937,0.5978428351309707,0.5,0.7349768875192604
C0530,0.3050847457627119,0.15254237288135594,0.38212634822804314,0.25,0.5115562403697997
C0531,0.7349768875192604,0.8305084745762712,0.7565485362095532,0.75,0.5362095531587057
C0532,0.7272727272727273,0.4530046224961479,0.7211093990755008,0.5,0.8151001540832049
C0533,0.9229583975346687,0.901386748844376,0.9121725731895224,1.0,0.884437596302003
C0534,0.8936825885978429,0.7010785824345146,0.864406779661017,0.75,0.8674884437596302
C0535,0.24345146379044685,0.19568567026194145,0.06933744221879815,0.5,0.5716486902927581
C0536,0.15716486902927582,0.04468412942989214,0.7149460708782742,0.25,0.08166409861325115
C0537,0.22033898305084745,0.16640986132511557,0.1987673343605547,0.0,0.3728813559322034
C0538,0.43143297380585516,0.5161787365177196,0.576271186440678,0.5,0.12788906009244994
C0539,0.7596302003081664,0.773497688751926,0.7904468412942989,0.75,0.24036979969183359
C0540,0.6224961479198767,0.6440677966101694,0.5824345146379045,0.75,0.37442218798151
C0541,0.7534668721109399,0.8320493066255779,0.810477657935285,0.75,0.7442218798151001
C0542,0.8875192604006163,0.827426810477658,0.8582434514637904,1.0,0.9075500770416025
C0543,0.5932203389830508,0.3050847457627119,0.5069337442218799,0.25,0.847457627118644
C0544,0.7026194144838213,0.7719568567026194,0.9075500770416025,0.5,0.7719568567026194
C0545,0.6332819722650231,0.5824345146379045,0.6409861325115562,0.5,0.5084745762711864
C0546,0.01386748844375963,0.007704160246533128,0.01848998459167951,0.25,0.009244992295839754
C0547,0.975346687211094,0.9784283513097073,0.9568567026194145,0.75,0.9922958397534669
C0548,0.2711864406779661,0.2650231124807396,0.28043143297380585,0.25,0.29583975346687214
C0549,0.3204930662557781,0.1325115562403698,0.4576271186440678,0.5,0.6517719568567026
C0550,0.5238828967642527,0.38058551617873654,0.5007704160246533,0.25,0.6286594761171033
C0551,0.24036979969183359,0.19568567026194145,0.2033898305084746,0.0,0.26810477657935283
C0552,0.48228043143297383,0.3312788906009245,0.6610169491525424,0.0,0.5500770416024653
C0553,0.8551617873651772,0.5963020030816641,0.8320493066255779,0.75,0.810477657935285
C0554,0.46533127889060094,0.2542372881355932,0.3790446841294299,0.25,0.5377503852080123
C0555,0.5500770416024653,0.3852080123266564,0.5793528505392912,0.25,0.5639445300462249
C0556,0.5731895223420647,0.3189522342064715,0.5084745762711864,0.5,0.7134052388289677
C0557,0.2110939907550077,0.30970724191063176,0.22650231124807396,0.5,0.23728813559322035
C0558,0.5408320493066255,0.325115562403698,0.711864406779661,0.25,0.5901386748844376
C0559,0.9429892141756548,0.8089368258859785,0.8305084745762712,0.75,0.9429892141756548
C0560,0.36363636363636365,0.23882896764252695,0.3713405238828968,0.25,0.5161787365177196
C0561,0.802773497688752,0.6163328197226502,0.8489984591679507,0.5,0.9322033898305084
C0562,0.43759630200308164,0.08166409861325115,0.9676425269645609,0.25,0.1617873651771957
C0563,0.12942989214175654,0.12326656394453005,0.4067796610169492,0.5,0.11093990755007704
C0564,0.275808936825886,0.2588597842835131,0.24036979969183359,0.25,0.4576271186440678
C0565,0.9907550077041603,0.9861325115562404,0.963020030816641,1.0,0.9861325115562404
C0566,0.8536209553158706,0.9414483821263482,0.7534668721109399,1.0,0.9614791987673343
C0567,0.01694915254237288,0.020030816640986132,0.01386748844375963,0.25,0.015408320493066256
C0568,0.02773497688751926,0.2280431432973806,0.15254237288135594,0.0,0.02773497688751926
C0569,0.38366718027734975,0.6733436055469953,0.2835130970724191,0.75,0.5408320493066255
C0570,0.41448382126348227,0.7503852080123267,0.5654853620955316,0.75,0.8243451463790447
C0571,0.6610169491525424,0.5007704160246533,0.522342064714946,0.5,0.8166409861325116
C0572,0.3235747303543914,0.2696456086286595,0.22033898305084745,0.25,0.31124807395993837
C0573,0.8120184899845917,0.2280431432973806,0.9506933744221879,0.0,0.9229583975346687
C0574,0.8043143297380585,0.8258859784283513,0.7395993836671803,0.75,0.6194144838212635
C0575,0.10785824345146379,0.14791987673343607,0.09861325115562404,0.25,0.0970724191063174
C0576,0.884437596302003,0.7257318952234206,0.7981510015408321,0.75,0.9106317411402157
C0577,0.8782742681047766,0.44992295839753466,0.8798151001540832,0.5,0.8690292758089369
C0578,0.35130970724191063,0.23728813559322035,0.3543913713405239,0.25,0.12172573189522343
C0579,0.09090909090909091,0.19568567026194145,0.02773497688751926,0.25,0.8952234206471494
C0580,0.0061633281972265025,0.0061633281972265025,0.0061633281972265025,0.0,0.009244992295839754
C0581,0.09553158705701079,0.07087827426810478,0.0970724191063174,0.25,0.07395993836671803
C0582,0.23112480739599384,0.3882896764252696,0.22496147919876733,0.25,0.21571648690292758
C0583,0.8798151001540832,0.9229583975346687,0.8151001540832049,1.0,0.8135593220338984
C0584,0.02157164869029276,0.026194144838212634,0.032357473035439135,0.0,0.030816640986132512
C0585,0.9167950693374423,0.975346687211094,0.9152542372881356,0.75,0.9799691833590138
C0586,0.030816640986132512,0.023112480739599383,0.03543913713405239,0.0,0.04468412942989214
C0587,0.33281972265023113,0.1694915254237288,0.31278890600924497,0.0,0.39599383667180277
C0588,0.559322033898305,0.05084745762711865,0.7765793528505393,0.0,0.8043143297380585
C0589,0.1926040061633282,0.4067796610169492,0.2650231124807396,0.5,0.3667180277349769
C0590,0.2650231124807396,0.2942989214175655,0.26040061633281975,0.5,0.24191063174114022
C0591,0.3081664098613251,0.27889060092449924,0.24961479198767333,0.5,0.31587057010785824
C0592,0.4930662557781202,0.33436055469953774,0.43605546995377503,0.0,0.5963020030816641
C0593,0.8674884437596302,0.7303543913713405,0.8428351309707242,1.0,0.8597842835130971
C0594,0.9337442218798151,0.8505392912172574,0.9183359013867488,0.75,0.901386748844376
C0595,0.9722650231124808,0.975346687211094,0.9506933744221879,0.25,0.1617873651771957
C0596,0.9491525423728814,0.9953775038520801,0.3312788906009245,1.0,0.9337442218798151
C0597,0.9645608628659477,0.8459167950693375,0.9599383667180277,0.75,0.9784283513097073
C0598,0.864406779661017,0.48073959938366717,0.8520801232665639,0.5,0.9060092449922958
C0599,0.01848998459167951,0.2280431432973806,0.01386748844375963,0.0,0.01694915254237288
C0600,0.8983050847457628,0.8443759630200308,0.7827426810477658,1.0,0.9553158705701078
C0601,0.05238828967642527,0.0724191063174114,0.04776579352850539,0.25,0.04776579352850539
C0602,0.03543913713405239,0.02157164869029276,0.03697996918335902,0.25,0.07858243451463791
C0603,0.44838212634822805,0.47919876733436056,0.3574730354391371,0.5,0.5053929121725732
C0604,0.6456086286594761,0.5269645608628659,0.6456086286594761,0.5,0.6471494607087828
C0605,0.9306625577812019,0.9152542372881356,0.8767334360554699,1.0,0.9352850539291218
C0606,0.9553158705701078,0.9429892141756548,0.9060092449922958,0.75,0.9568567026194145
C0607,0.14791987673343607,0.09399075500770417,0.24961479198767333,0.25,0.08320493066255778
C0608,0.28659476117103233,0.7334360554699538,0.25115562403698,0.5,0.1864406779661017
C0609,0.24499229583975346,0.4422187981510015,0.1926040061633282,0.5,0.2218798151001541
C0610,0.1448382126348228,0.2280431432973806,0.15254237288135594,0.0,0.1617873651771957
C0611,0.9152542372881356,0.7796610169491526,0.9183359013867488,0.75,0.6933744221879815
C0612,0.8952234206471494,0.6779661016949152,0.8936825885978429,0.5,0.8305084745762712
C0613,0.41756548536209553,0.5531587057010786,0.7318952234206472,0.5,0.4622496147919877
C0614,0.20801232665639446,0.5808936825885979,0.3312788906009245,0.5,0.09090909090909091
C0615,0.5362095531587057,0.588597842835131,0.6317411402157165,0.5,0.20955315870570107
C0616,0.3728813559322034,0.3436055469953775,0.27889060092449924,0.25,0.6255778120184899
C0617,0.9815100154083205,0.963020030816641,0.9506933744221879,1.0,0.9599383667180277
C0618,0.5161787365177196,0.7026194144838213,0.6117103235747303,0.5,0.4637904468412943
C0619,0.9892141756548536,0.9845916795069337,0.9661016949152542,1.0,0.9768875192604006
C0620,0.004622496147919877,0.0061633281972265025,0.0015408320493066256,0.0,0.004622496147919877
C0621,0.8243451463790447,0.7442218798151001,0.9583975346687211,0.75,0.4098613251155624
C0622,0.39445300462249616,0.275808936825886,0.5855161787365177,0.0,0.36517719568567025
C0623,0.8967642526964561,0.7134052388289677,0.8628659476117103,0.5,0.9306625577812019
